brand,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,seats,selling_price
Maruti,26000,Dealer,Diesel,Manual,24.3,1248,5,725000
Ford,30000,Individual,Petrol,Manual,18.16,1196,5,480000
Hyundai,15000,Individual,Petrol,Manual,18.5,1197,5,375000
Tata,32100,Individual,Petrol,Manual,23.84,1199,5,400000
Hyundai,22000,Dealer,Petrol,Manual,18.5,1197,5,550000
Mahindra,44000,Dealer,Diesel,Manual,15.4,2179,7,1050000
Volkswagen,78000,Dealer,Petrol,Manual,18.78,1198,5,450000
Mercedes-Benz,74352,Dealer,Petrol,Automatic,11.74,1796,5,775000
Maruti,37000,Individual,Petrol,Manual,20.51,998,5,350000
Honda,69000,Dealer,Diesel,Manual,25.1,1498,5,550000
Kia,12120,Individual,Petrol,Manual,16.8,1497,5,1080000
Maruti,52000,Dealer,Petrol,Manual,21.01,1197,5,575000
Toyota,120000,Individual,Diesel,Manual,12.99,2494,8,950000
Maruti,55000,Individual,Petrol,Manual,22.74,796,5,230000
Ford,40000,Individual,Petrol,Manual,15.6,1196,5,130000
Maruti,46000,Dealer,Petrol,Manual,19.1,1197,5,370000
Maruti,25000,Dealer,Petrol,Manual,21.4,1197,5,570000
Volkswagen,90000,Dealer,Diesel,Manual,22.07,1199,5,365000
Hyundai,49566,Dealer,Petrol,Manual,18.5,1197,5,280000
Hyundai,14000,Dealer,Diesel,Automatic,22.0,1582,5,1250000
Hyundai,11000,Dealer,Petrol,Manual,18.6,1197,5,590000
Maruti,5000,Individual,Petrol,Automatic,23.1,998,5,475000
Ford,55000,Dealer,Diesel,Manual,23.0,1498,5,685000
Hyundai,65000,Dealer,Diesel,Automatic,19.08,1582,5,380000
Renault,22000,Individual,Petrol,Manual,23.01,999,5,330000
Maruti,66000,Individual,Petrol,Manual,20.51,998,5,325000
Maruti,45156,Dealer,Petrol,Automatic,21.21,1197,5,640000
Hyundai,25000,Individual,Petrol,Manual,18.27,998,5,949000
Hyundai,120000,Individual,Diesel,Manual,23.9,1582,5,660000
Maruti,28000,Dealer,Petrol,Manual,16.1,1197,5,435000
Hyundai,55000,Dealer,Diesel,Manual,21.9,1396,5,385000
Hyundai,14000,Dealer,Diesel,Automatic,22.0,1582,5,1250000
Maruti,98780,Dealer,Petrol,Manual,18.9,998,5,155000
Maruti,58000,Dealer,Diesel,Manual,25.2,1248,5,415000
Maruti,30000,Individual,Petrol,Manual,20.92,998,5,251000
Mahindra,46400,Dealer,Diesel,Manual,15.4,2179,7,1150000
Datsun,35000,Individual,Petrol,Manual,19.44,1198,7,350000
Mahindra,30000,Dealer,Diesel,Manual,15.4,1997,7,1125000
BMW,63000,Dealer,Diesel,Automatic,18.59,2993,5,2600000
Datsun,10000,Individual,Petrol,Manual,20.62,1198,7,480000
Maruti,25000,Individual,Diesel,Automatic,28.4,1248,5,850000
Hyundai,102000,Dealer,Diesel,Automatic,17.01,1582,5,1100000
Maruti,35000,Dealer,Petrol,Manual,22.0,1197,5,575000
Maruti,49948,Dealer,Petrol,Manual,17.5,1298,5,340000
Ford,55000,Individual,Diesel,Manual,23.0,1498,5,925000
Hyundai,36000,Dealer,Petrol,Manual,18.9,1197,5,400000
Honda,49625,Dealer,Petrol,Manual,17.8,1497,5,725000
Maruti,35000,Individual,Diesel,Manual,23.4,1248,5,600000
Mahindra,95000,Individual,Diesel,Manual,12.05,2179,8,550000
Ford,36000,Dealer,Diesel,Manual,25.83,1498,5,585000
Maruti,50000,Individual,Petrol,Manual,21.79,998,5,411000
Maruti,26500,Individual,Petrol,Manual,20.85,1197,5,450000
Honda,80000,Dealer,Petrol,Automatic,13.7,1997,5,1290000
Volkswagen,46000,Dealer,Petrol,Manual,16.47,1198,5,455000
Hyundai,9000,Individual,Petrol,Manual,20.7,1197,5,710000
Honda,53000,Dealer,Petrol,Manual,16.8,1497,5,770000
Ford,11387,Individual,Diesel,Automatic,10.91,3198,7,2900000
Honda,50000,Individual,Diesel,Manual,25.8,1498,5,720000
Mahindra,52000,Dealer,Diesel,Manual,25.32,1198,5,375000
Datsun,35000,Individual,Petrol,Manual,19.44,1198,7,400000
Renault,48000,Individual,Diesel,Manual,19.87,1461,5,600000
Honda,18000,Individual,Petrol,Manual,18.7,1199,5,600000
Hyundai,30000,Individual,Petrol,Manual,18.6,1197,5,500000
Hyundai,55000,Dealer,Diesel,Manual,23.9,1582,5,650000
Maruti,10000,Individual,Petrol,Automatic,21.21,1197,5,660000
BMW,68000,Dealer,Diesel,Automatic,22.69,1995,5,2090000
Kia,8000,Dealer,Petrol,Manual,16.8,1497,5,1275000
Maruti,65000,Dealer,Diesel,Manual,28.4,1248,5,495000
Hyundai,25000,Individual,Petrol,Manual,18.9,1197,5,475000
Maruti,70000,Individual,Petrol,Manual,20.73,1373,5,530000
Tata,9500,Individual,Petrol,Manual,23.84,1199,5,530000
Hyundai,9100,Individual,Petrol,Manual,17.01,1591,5,650000
Honda,86000,Dealer,Petrol,Manual,17.0,1497,5,335000
Audi,78000,Dealer,Diesel,Automatic,16.55,1968,5,1290000
Ford,60000,Individual,Diesel,Manual,20.0,1399,5,300000
Tata,58000,Dealer,Diesel,Manual,24.7,1047,5,395000
Maruti,15000,Individual,Petrol,Manual,22.0,1197,5,650000
Maruti,71245,Dealer,Diesel,Manual,28.4,1248,5,375000
Kia,7000,Individual,Petrol,Manual,16.1,1353,5,1300000
Maruti,20000,Individual,Petrol,Manual,23.95,998,5,360000
Maruti,8700,Individual,Petrol,Manual,21.63,998,5,505000
Maruti,25000,Individual,Petrol,Manual,24.7,796,5,310000
Hyundai,42000,Dealer,Petrol,Manual,18.6,1197,5,545000
Maruti,50000,Individual,Petrol,Manual,21.4,1197,5,580000
Maruti,58000,Individual,Petrol,Manual,18.9,998,5,250000
Hyundai,36000,Individual,Petrol,Manual,17.43,1396,5,650000
Maruti,30000,Individual,Diesel,Manual,25.47,1248,7,410000
Ford,7500,Individual,Diesel,Manual,23.0,1498,5,890000
Tata,47227,Dealer,Diesel,Manual,14.0,2179,7,775000
Ford,74000,Dealer,Diesel,Manual,20.0,1399,5,185000
Mahindra,47000,Dealer,Diesel,Manual,15.96,2523,7,440000
Hyundai,50000,Individual,Petrol,Manual,18.6,1197,5,450000
Maruti,100000,Individual,Petrol,Manual,21.4,1197,5,600000
Maruti,35000,Individual,Petrol,Manual,23.1,998,5,320000
Hyundai,50000,Individual,Diesel,Manual,21.19,1396,5,700000
Ford,10000,Individual,Petrol,Manual,18.16,1196,5,630000
Maruti,10370,Individual,Petrol,Manual,22.74,796,5,320000
Honda,62000,Dealer,Petrol,Manual,16.8,1497,5,465000
Hyundai,40000,Individual,Petrol,Manual,18.6,1197,5,550000
Maruti,60000,Individual,Petrol,Manual,22.0,1197,5,445000
Tata,67231,Dealer,Diesel,Manual,14.0,2179,7,705000
Honda,63000,Dealer,Diesel,Manual,26.0,1498,5,475000
Toyota,80000,Individual,Diesel,Manual,12.55,2982,7,1755000
Honda,55000,Dealer,Petrol,Manual,16.9,1497,5,350000
Hyundai,11000,Dealer,Petrol,Manual,18.6,1197,5,575000
Renault,17000,Individual,Petrol,Manual,23.01,999,5,360000
Maruti,25000,Individual,Petrol,Manual,24.7,796,5,275000
Datsun,33350,Individual,Petrol,Manual,19.44,1198,7,320000
Hyundai,62000,Dealer,Petrol,Manual,18.9,1197,5,370000
Maruti,59000,Individual,Petrol,Manual,17.5,1298,5,275000
Honda,86113,Dealer,Petrol,Manual,17.4,1497,5,550000
Maruti,10000,Individual,Diesel,Manual,28.4,1248,5,750000
Maruti,92537,Individual,Petrol,Manual,20.51,998,5,272000
Maruti,27645,Dealer,Diesel,Manual,28.09,1248,5,951000
Maruti,46242,Individual,Petrol,Manual,20.92,998,5,280000
Renault,6000,Individual,Petrol,Manual,22.3,799,5,450000
Hyundai,64000,Dealer,Petrol,Manual,18.6,1197,5,480000
Mahindra,93000,Dealer,Diesel,Manual,15.4,1997,7,1060000
Maruti,26200,Dealer,Petrol,Manual,22.74,796,5,235000
Maruti,25000,Individual,Petrol,Manual,21.4,1197,5,590000
Toyota,50000,Dealer,Diesel,Automatic,12.9,2755,7,2950000
Hyundai,80000,Individual,Petrol,Manual,17.92,1086,5,110000
Mahindra,110000,Individual,Diesel,Manual,13.5,2179,5,280000
Audi,55000,Dealer,Petrol,Automatic,17.84,1395,5,1851000
Honda,25000,Individual,Petrol,Manual,17.4,1497,5,750000
Hyundai,36000,Dealer,Petrol,Manual,18.9,1197,5,400000
Maruti,40000,Individual,Diesel,Manual,26.59,1248,5,530000
Mahindra,25000,Individual,Diesel,Manual,16.55,2498,6,870000
Renault,30038,Dealer,Petrol,Manual,25.17,799,5,295000
Tata,53000,Individual,Diesel,Manual,27.28,1047,5,370000
Maruti,5000,Individual,Petrol,Manual,21.21,1197,5,530000
Renault,35000,Individual,Petrol,Automatic,24.04,999,5,350000
Ford,62000,Dealer,Diesel,Manual,22.7,1498,5,470000
Ford,42000,Individual,Diesel,Manual,25.83,1498,5,390000
Mahindra,80000,Individual,Diesel,Manual,15.4,2179,7,920000
Mahindra,60000,Individual,Diesel,Manual,15.1,2179,7,550000
Hyundai,45000,Individual,Diesel,Manual,22.32,1582,5,635000
Mahindra,50000,Dealer,Diesel,Automatic,16.0,2179,7,1250000
Maruti,12000,Individual,Petrol,Manual,24.7,796,5,300000
Honda,12000,Individual,Petrol,Automatic,18.0,1497,5,960000
Maruti,15000,Individual,Diesel,Manual,24.3,1248,5,750000
Volkswagen,63000,Dealer,Petrol,Manual,16.47,1198,5,249000
Tata,30000,Individual,Diesel,Manual,17.6,2179,7,1400000
Hyundai,120000,Individual,Diesel,Manual,22.32,1582,5,610000
Ford,78247,Dealer,Diesel,Manual,21.7,1498,5,545000
Hyundai,113000,Individual,Diesel,Manual,22.32,1582,5,480000
Hyundai,52000,Dealer,Petrol,Manual,18.6,1197,5,395000
Toyota,109000,Dealer,Diesel,Manual,12.99,2494,7,495000
Hyundai,90000,Individual,Petrol,Manual,18.9,1197,5,470000
Volkswagen,98000,Dealer,Diesel,Manual,22.07,1199,5,200000
Hyundai,20000,Individual,Diesel,Manual,21.19,1396,5,699000
Maruti,21717,Individual,Petrol,Manual,20.51,998,5,340000
Renault,40000,Individual,Diesel,Manual,20.45,1461,5,500000
Honda,50000,Individual,Petrol,Manual,17.14,1497,5,1050000
Renault,90000,Individual,Diesel,Manual,19.6,1461,5,600000
Maruti,27876,Dealer,Petrol,Manual,20.4,1197,5,491000
Land Rover,56000,Dealer,Petrol,Automatic,12.63,1999,5,2890000
Hyundai,57215,Individual,Petrol,Manual,20.36,1197,5,160000
Hyundai,5400,Dealer,Petrol,Manual,18.27,998,5,985000
Maruti,60000,Individual,Diesel,Manual,23.4,1248,5,500000
Tata,24800,Individual,Petrol,Manual,23.84,1199,5,335000
Honda,20000,Dealer,Petrol,Automatic,17.1,1199,5,740000
Maruti,34553,Dealer,Petrol,Manual,22.0,1197,5,375000
Maruti,40000,Individual,Diesel,Manual,24.3,1248,5,810000
Maruti,50000,Individual,Diesel,Manual,24.3,1248,5,700000
Mahindra,70000,Individual,Diesel,Manual,25.32,1198,6,310000
Mahindra,120000,Individual,Diesel,Manual,15.4,1997,7,850000
Hyundai,90000,Individual,Diesel,Manual,22.54,1396,5,285000
Maruti,120000,Individual,Diesel,Manual,23.4,1248,5,450000
Hyundai,80000,Individual,Diesel,Manual,19.67,1582,5,1100000
Mahindra,30000,Individual,Diesel,Manual,15.4,1997,7,1080000
Honda,66100,Dealer,Diesel,Manual,26.0,1498,5,530000
Maruti,50000,Individual,Diesel,Manual,28.4,1248,5,680000
Mahindra,42000,Dealer,Diesel,Manual,15.4,1997,7,1025000
Hyundai,55000,Individual,Petrol,Manual,18.6,1197,5,650000
Hyundai,110699,Dealer,Petrol,Manual,20.36,1197,5,194000
Maruti,5000,Individual,Petrol,Automatic,21.4,1197,5,686000
Maruti,50000,Individual,Petrol,Manual,22.74,796,5,200000
Maruti,44000,Dealer,Petrol,Manual,19.1,1197,5,250000
Maruti,90000,Individual,Diesel,Manual,24.3,1248,5,730000
Hyundai,55000,Dealer,Petrol,Manual,17.01,1591,5,650000
Maruti,45000,Dealer,Diesel,Manual,24.3,1248,5,790000
Maruti,30000,Individual,Petrol,Manual,21.4,1197,5,620000
Hyundai,50000,Individual,Petrol,Manual,17.01,1591,5,510000
Maruti,20000,Individual,Petrol,Manual,15.37,1196,5,375000
Ford,30000,Individual,Diesel,Automatic,11.4,2953,7,950000
Toyota,52300,Dealer,Diesel,Manual,13.68,2393,7,1450000
Honda,40000,Individual,Petrol,Automatic,18.0,1497,5,845000
Maruti,61500,Dealer,Diesel,Manual,23.4,1248,5,390000
Honda,59000,Dealer,Petrol,Manual,18.0,1198,5,395000
Hyundai,40000,Individual,Petrol,Manual,18.9,1197,5,450000
Audi,60000,Individual,Diesel,Automatic,17.68,1968,5,1700000
Hyundai,61000,Dealer,Petrol,Manual,18.9,1197,5,325000
Mahindra,70000,Individual,Diesel,Manual,25.32,1198,6,350000
Mahindra,63000,Dealer,Diesel,Manual,15.1,2179,7,650000
Mercedes-Benz,58000,Dealer,Petrol,Manual,12.3,1796,5,1250000
Maruti,22000,Individual,Diesel,Manual,28.4,1248,5,750000
Honda,57977,Dealer,Petrol,Manual,17.0,1497,5,299000
Land Rover,13000,Dealer,Petrol,Automatic,12.19,1997,4,7000000
Mini,67000,Dealer,Petrol,Automatic,17.33,1998,4,1325000
Maruti,48242,Dealer,Diesel,Manual,20.77,1248,7,524000
Ford,68000,Dealer,Diesel,Manual,20.0,1399,5,169000
Maruti,40000,Individual,Diesel,Manual,20.77,1248,7,500000
Audi,98000,Dealer,Diesel,Automatic,12.07,2967,7,2000000
Maruti,113450,Individual,Diesel,Manual,23.4,1248,5,380000
Maruti,80000,Individual,Petrol,Automatic,20.51,998,5,400000
Hyundai,1000,Dealer,Petrol,Automatic,20.3,1086,5,565000
Maruti,20292,Dealer,Petrol,Manual,20.51,998,5,335000
Mahindra,67900,Dealer,Diesel,Manual,12.05,2179,7,300000
Mahindra,40000,Dealer,Diesel,Manual,15.4,1997,7,1051000
Hyundai,60000,Individual,Diesel,Manual,24.0,1186,5,510000
Renault,25000,Individual,Petrol,Automatic,24.04,999,5,370000
Maruti,21000,Individual,Diesel,Manual,27.39,1248,5,625000
Mahindra,39000,Dealer,Diesel,Manual,16.36,2179,7,1290000
Hyundai,30000,Dealer,Petrol,Manual,15.8,1591,5,890000
Hyundai,61000,Dealer,Diesel,Manual,22.32,1582,5,420000
Hyundai,24200,Individual,Petrol,Manual,18.9,1197,5,600000
Maruti,57000,Individual,Diesel,Manual,27.39,1248,5,590000
Hyundai,58000,Dealer,Petrol,Manual,20.36,1197,5,190000
Datsun,15000,Individual,Petrol,Manual,19.44,1198,7,500000
Maruti,10000,Individual,Petrol,Manual,23.1,998,5,450000
Mahindra,100000,Individual,Diesel,Manual,15.1,2179,7,650000
BMW,2000,Dealer,Petrol,Automatic,11.29,2998,2,8250000
Maruti,10000,Individual,Petrol,Manual,20.52,1197,5,500000
Maruti,43000,Individual,Petrol,Manual,19.7,796,5,140000
Maruti,30000,Individual,Petrol,Manual,20.51,998,5,325000
Honda,63000,Dealer,Petrol,Manual,17.8,1497,5,435000
Land Rover,25000,Individual,Petrol,Automatic,9.17,2995,7,6200000
Honda,32226,Dealer,Petrol,Manual,17.8,1497,5,755000
Maruti,65000,Individual,Petrol,Manual,23.95,998,5,245000
Kia,14000,Dealer,Diesel,Manual,20.8,1493,5,1350000
Renault,15000,Individual,Petrol,Automatic,24.04,999,5,310000
BMW,30000,Individual,Petrol,Automatic,14.28,1998,4,5500000
Maruti,32000,Dealer,Diesel,Manual,19.3,1248,5,675000
Maruti,30000,Individual,Petrol,Manual,20.52,1197,5,500000
Hyundai,25000,Individual,Petrol,Manual,20.36,1197,5,300000
Mahindra,35000,Individual,Diesel,Automatic,15.4,2179,7,1450000
Hyundai,35000,Individual,Petrol,Manual,18.6,1197,5,550000
Maruti,7124,Individual,Petrol,Manual,21.01,1197,5,643000
Ford,15000,Individual,Petrol,Manual,18.1,999,5,1000000
Hyundai,34000,Individual,Petrol,Manual,18.9,1197,5,550000
Tata,40000,Individual,Petrol,Manual,20.3,1199,5,470000
Honda,77000,Dealer,Diesel,Manual,26.0,1498,5,525000
Datsun,15000,Individual,Petrol,Manual,19.44,1198,7,469000
Maruti,60000,Individual,Petrol,Manual,20.92,998,5,210000
Maruti,120000,Individual,Petrol,Manual,22.74,796,5,200000
Renault,2500,Individual,Petrol,Manual,23.01,999,5,400000
Jaguar,50000,Dealer,Diesel,Automatic,16.36,2179,5,2150000
Maruti,46500,Individual,Petrol,Manual,23.1,998,5,340000
Maruti,68000,Individual,Diesel,Manual,22.9,1248,5,381000
Mercedes-Benz,45000,Dealer,Diesel,Automatic,14.94,2143,5,775000
Maruti,20000,Individual,Diesel,Manual,28.4,1248,5,700000
Maruti,106000,Dealer,Diesel,Manual,28.09,1248,5,675000
Honda,28000,Dealer,Petrol,Automatic,18.0,1497,5,670000
Mahindra,50000,Individual,Diesel,Manual,16.0,2179,7,1050000
BMW,19000,Individual,Diesel,Automatic,13.38,2993,5,7900000
Honda,55000,Dealer,Petrol,Manual,17.0,1497,5,360000
Ford,53000,Individual,Diesel,Manual,25.83,1498,5,400000
Hyundai,89000,Dealer,Diesel,Manual,22.32,1582,5,470000
Maruti,22000,Individual,Petrol,Manual,24.7,796,5,304000
Honda,69000,Dealer,Diesel,Manual,26.0,1498,5,490000
Mahindra,85000,Dealer,Diesel,Manual,16.0,2179,7,480000
Maruti,3600,Dealer,Petrol,Automatic,20.52,1197,5,575000
Audi,24000,Dealer,Diesel,Automatic,17.68,1968,5,3490000
MG,28000,Dealer,Diesel,Manual,17.41,1956,5,1699000
Maruti,44000,Individual,Diesel,Manual,28.4,1248,5,800000
Maruti,10000,Individual,Petrol,Automatic,21.4,1197,5,680000
Ford,22346,Dealer,Petrol,Manual,17.0,1497,5,955000
Hyundai,120000,Individual,Diesel,Manual,21.9,1396,5,350000
Maruti,1000,Dealer,Petrol,Manual,17.03,1462,5,800000
Mahindra,60000,Individual,Diesel,Manual,17.3,1497,8,1476000
Honda,40000,Dealer,Petrol,Automatic,18.2,1199,5,670000
Maruti,28000,Dealer,Petrol,Manual,19.7,796,5,180000
Hyundai,35000,Individual,Petrol,Manual,18.9,1197,5,490000
Maruti,20000,Individual,Petrol,Manual,21.4,1197,5,550000
Hyundai,40000,Individual,Petrol,Manual,20.36,1197,5,350000
Toyota,35000,Individual,Diesel,Manual,13.68,2393,8,1500000
Ford,74000,Dealer,Diesel,Manual,20.0,1399,5,190000
Renault,46500,Individual,Diesel,Manual,20.45,1461,5,460000
Maruti,8000,Dealer,Petrol,Automatic,21.21,1197,5,650000
Maruti,120000,Individual,Diesel,Manual,28.09,1248,5,700000
Maruti,34000,Individual,Petrol,Manual,20.4,1197,5,455000
Maruti,54000,Dealer,Petrol,Manual,22.0,1197,5,365000
Maruti,11275,Dealer,Petrol,Manual,19.1,1197,5,470000
Toyota,35000,Dealer,Diesel,Automatic,12.9,2755,7,2950000
Maruti,48000,Individual,Diesel,Manual,22.9,1248,5,400000
Renault,68000,Dealer,Diesel,Manual,19.87,1461,5,550000
Honda,23000,Dealer,Petrol,Automatic,13.9,1799,5,1519000
Maruti,31500,Individual,Diesel,Automatic,28.4,1248,5,740000
Honda,73000,Dealer,Diesel,Manual,25.8,1498,5,325000
Hyundai,10000,Individual,Petrol,Automatic,20.7,1197,5,600000
Hyundai,30000,Individual,Petrol,Manual,20.36,1197,5,300000
Mahindra,60000,Individual,Diesel,Manual,15.4,2523,7,900000
Mahindra,83000,Dealer,Diesel,Manual,16.0,1997,7,1025000
Isuzu,58132,Dealer,Diesel,Manual,12.4,2499,5,1450000
Maruti,34000,Individual,Petrol,Manual,20.4,1197,5,400000
Honda,45120,Dealer,Diesel,Manual,25.8,1498,5,367000
Hyundai,15000,Individual,Petrol,Automatic,18.9,1197,5,535000
Maruti,15000,Individual,Petrol,Manual,19.34,1462,7,805000
MG,1000,Dealer,Petrol,Manual,15.81,1451,5,1488000
Hyundai,64000,Individual,Petrol,Manual,20.36,1197,5,250000
Mercedes-Benz,98000,Dealer,Diesel,Automatic,14.21,2143,5,700000
Maruti,65000,Dealer,Diesel,Manual,24.3,1248,5,675000
Maruti,84000,Dealer,Diesel,Manual,28.4,1248,5,425000
Maruti,33000,Individual,Petrol,Manual,22.74,796,5,260000
Honda,55670,Dealer,Petrol,Manual,17.8,1497,5,700000
Maruti,50000,Individual,Diesel,Manual,27.39,1248,5,560000
Porsche,47000,Dealer,Diesel,Automatic,15.15,2967,5,5975000
Maruti,18000,Dealer,Petrol,Manual,19.01,1462,7,800000
BMW,52420,Dealer,Diesel,Automatic,22.69,1995,5,750000
Hyundai,10000,Individual,Petrol,Manual,18.9,1197,5,350000
Toyota,40000,Individual,Diesel,Manual,13.68,2393,8,1380000
Mahindra,50000,Individual,Diesel,Manual,15.4,2179,7,1000000
Maruti,50000,Individual,Petrol,Manual,17.5,1373,7,700000
Maruti,76963,Individual,Petrol,Manual,17.5,1298,5,230000
BMW,52890,Dealer,Diesel,Automatic,18.12,1995,5,2800000
Maruti,25000,Individual,Diesel,Manual,27.39,1248,5,825000
Renault,10103,Dealer,Petrol,Manual,25.17,799,5,325000
BMW,24000,Dealer,Diesel,Automatic,17.05,1995,5,1675000
Mahindra,47240,Dealer,Diesel,Manual,15.1,2179,7,800000
Maruti,30000,Individual,Petrol,Manual,23.1,998,5,400000
Toyota,58000,Dealer,Diesel,Manual,13.68,2393,7,1750000
Audi,65000,Dealer,Diesel,Automatic,16.55,1968,5,1200000
Hyundai,35213,Dealer,Diesel,Manual,22.54,1396,5,535000
Hyundai,35000,Individual,Petrol,Manual,18.9,1197,5,356000
Mahindra,92000,Dealer,Diesel,Manual,16.0,2179,7,550000
Maruti,50000,Individual,Diesel,Manual,24.52,1248,7,700000
Hyundai,30000,Individual,Petrol,Manual,18.9,1197,5,390000
Toyota,51000,Dealer,Diesel,Automatic,12.55,2982,7,1245000
Mahindra,60000,Individual,Diesel,Automatic,16.0,2179,7,1150000
Maruti,83000,Dealer,Petrol,Manual,18.9,998,5,180000
Skoda,70000,Dealer,Petrol,Manual,15.0,1598,5,425000
Ford,50000,Individual,Petrol,Manual,19.0,1194,5,650000
Maruti,60000,Individual,Diesel,Manual,22.9,1248,5,400000
Honda,51000,Dealer,Petrol,Manual,17.0,1497,5,275000
Maruti,40000,Individual,Petrol,Manual,19.7,796,5,170000
Skoda,100000,Individual,Petrol,Manual,13.14,1798,5,235000
Maruti,70000,Individual,Petrol,Manual,23.95,998,5,250000
Maruti,70000,Individual,Petrol,Manual,18.6,1197,5,350000
Hyundai,50000,Individual,Petrol,Manual,18.6,1197,5,480000
Maruti,30000,Dealer,Petrol,Automatic,21.21,1197,5,690000
Maruti,60000,Individual,Diesel,Manual,26.21,1248,5,670000
Maruti,50000,Individual,Petrol,Manual,20.92,998,5,250000
Mahindra,42000,Dealer,Diesel,Manual,15.4,2523,7,935000
Hyundai,15000,Individual,Petrol,Manual,17.0,1591,5,1030000
Hyundai,35000,Individual,Petrol,Manual,18.6,1197,5,470000
Maruti,30000,Individual,Petrol,Manual,20.4,1197,5,370000
